Date,Open,High,Low,Close,Volume
2023-01-01,137.45,137.45,107.74,116.41,3428
2023-01-02,195.07,195.07,119.25,97.73,6126
2023-01-03,173.2,173.2,108.59,113.69,9220
2023-01-04,159.87,163.74,99.31,155.05,8813
2023-01-05,115.6,172.61,102.67,138.41,4356
2023-01-06,115.6,197.59,115.6,186.95,9707
2023-01-07,105.81,151.63,105.81,179.2,8266
2023-01-08,186.62,186.62,128.25,130.21,7540
2023-01-09,160.11,179.52,142.86,121.72,1038
2023-01-10,170.81,170.81,162.49,134.11,4342
2023-01-11,102.06,143.9,94.13,155.8,3844
2023-01-12,196.99,196.99,173.94,122.61,2098
2023-01-13,183.24,183.24,155.93,159.29,8027
2023-01-14,121.23,196.26,98.58,137.17,2823
2023-01-15,118.18,183.6,118.18,151.86,4155
2023-01-16,118.34,169.6,118.34,139.92,4093
2023-01-17,130.42,140.9,96.41,125.33,6658
2023-01-18,152.48,152.48,119.07,192.69,4778
2023-01-19,143.19,143.19,143.19,173.65,3896
2023-01-20,129.12,129.12,129.12,109.43,1988
2023-01-21,161.19,161.19,109.37,184.45,5116
2023-01-22,113.95,171.46,111.98,145.21,7446
2023-01-23,129.21,166.02,128.9,187.14,5179
2023-01-24,136.64,136.64,136.64,177.39,2682
2023-01-25,145.61,195.49,145.61,138.8,6626
2023-01-26,178.52,178.52,128.74,97.31,8424
2023-01-27,119.97,155.44,119.97,122.67,1933
2023-01-28,151.42,161.17,151.42,150.79,4598
2023-01-29,159.24,159.24,93.85,160.25,2980
2023-01-30,104.65,124.77,104.65,121.56,4056
2023-01-31,160.75,160.75,160.75,109.35,9984
2023-02-01,117.05,175.78,117.05,181,1791
2023-02-02,106.51,106.51,106.51,196.39,6390
2023-02-03,194.89,194.89,145.87,149.15,7635
2023-02-04,196.56,196.56,101.25,112.68,3255
2023-02-05,180.84,180.84,136.98,123.05,4610
2023-02-06,130.46,185.55,130.46,96.89,2607
2023-02-07,109.77,170.37,109.77,189.17,6179
2023-02-08,168.42,168.42,118.27,107.13,7573
2023-02-09,144.02,144.02,129.61,154.38,1984
2023-02-10,112.2,149.16,92.11,123.23,6776
2023-02-11,149.52,149.52,123.82,152.08,4676
2023-02-12,103.44,117.32,103.44,162.1,4380
2023-02-13,190.93,190.93,124.39,180.46,9711
2023-02-14,125.88,139.85,102.58,116.26,9782
2023-02-15,166.25,166.25,166.25,96.13,2050
2023-02-16,131.17,163.51,131.17,109.1,4633
2023-02-17,152.01,152.01,152.01,187.7,7342
2023-02-18,154.67,154.67,154.67,185.01,1959
2023-02-19,118.49,162.59,118.49,156.53,7059
2023-02-20,196.96,196.96,99.13,156.85,9884
2023-02-21,177.51,185.65,146.4,163.5,6655
2023-02-22,193.95,193.95,151.62,113.06,5473
2023-02-23,189.48,189.48,168.27,189.18,3946
2023-02-24,159.79,159.79,135.32,138.13,8725
2023-02-25,192.19,192.19,103.4,134.46,1526
2023-02-26,108.85,108.85,108.85,148.45,4224
2023-02-27,119.6,158.58,119.6,99.84,2875
2023-02-28,104.52,194.02,104.52,112.13,2763
2023-03-01,132.53,157.55,132.53,171.02,9712
2023-03-02,138.87,138.87,127.39,103.53,6797
2023-03-03,127.13,164.33,127.13,157.12,8099
2023-03-04,182.87,182.87,153.61,120.27,6109
2023-03-05,135.68,154.56,114.91,135.1,7644
2023-03-06,128.09,194.15,100.69,124.74,1116
2023-03-07,154.27,154.27,106.05,131.63,3433
2023-03-08,114.09,196.12,114.09,169.06,6463
2023-03-09,180.22,190.54,106.87,125.6,1583
2023-03-10,107.46,119.58,107.46,153.34,9586
2023-03-11,198.69,198.69,119.93,144.03,4788
2023-03-12,177.22,177.22,108.2,163.36,5167
2023-03-13,119.87,119.87,119.87,191.49,9465
2023-03-14,100.55,109.44,98.42,170.45,2389
2023-03-15,181.55,181.55,145.07,117.14,9357
2023-03-16,170.69,170.69,133.09,98.21,7154
2023-03-17,172.9,172.9,172.9,122.01,6420
2023-03-18,177.13,184.49,101.76,156.29,9920
2023-03-19,107.4,107.4,107.4,100.3,3043
2023-03-20,135.85,181.45,135.85,146.13,5197
2023-03-21,111.59,128.19,111.59,156.47,4496
2023-03-22,186.31,186.31,175.79,129.43,1778
2023-03-23,162.33,169.67,117.08,174.4,1213
2023-03-24,133.09,162.89,107.94,105.98,4762
2023-03-25,106.36,187.75,106.36,102.74,7731
2023-03-26,131.1,173.51,131.1,170,4117
2023-03-27,132.52,180.35,132.52,146.04,6791
2023-03-28,172.96,172.96,150.02,165.91,9783
2023-03-29,163.76,163.76,119.4,139.79,3720
2023-03-30,188.72,188.72,170.8,120.38,9905
2023-03-31,147.22,180.68,109.64,179.37,7047
2023-04-01,111.96,199.05,111.96,177.34,9032
2023-04-02,171.32,171.32,134.67,166.55,1001
2023-04-03,176.08,176.08,143.3,123.03,7368
2023-04-04,156.13,177.64,115.45,155.79,2949
2023-04-05,177.1,177.1,102.06,132.18,7732
2023-04-06,149.38,193.08,149.38,104.43,8833
2023-04-07,152.27,185.84,120.31,189.48,1917
2023-04-08,142.75,142.9,142.75,109.09,4174
2023-04-09,102.54,175.09,102.54,192.87,8014
2023-04-10,110.79,175.45,110.79,140.94,1089
2023-04-11,103.14,110.31,103.14,114.07,2709
2023-04-12,163.64,190.26,95.44,150.82,4041
2023-04-13,131.44,150.53,125.34,184.91,1105
2023-04-14,150.86,182.65,104.11,170.42,9619
2023-04-15,190.76,190.76,96.65,178.08,2895
2023-04-16,124.93,189.55,124.93,162.85,7090
2023-04-17,141.04,141.04,123.85,166.3,9508
2023-04-18,175.56,175.56,175.04,182.47,7082
2023-04-19,122.88,190.54,116.74,120.72,1634
2023-04-20,107.7,109.13,107.7,145.41,2925
2023-04-21,128.98,131.93,128.98,117.78,3056
2023-04-22,116.12,195.01,116.12,196.73,7917
2023-04-23,192.97,195.06,139.52,192.24,4144
2023-04-24,180.81,180.81,133.24,99.06,1552
2023-04-25,163.34,163.34,126.63,167.67,9907
2023-04-26,187.15,187.15,187.15,190.3,6383
2023-04-27,180.37,180.37,177.22,113.6,4911
2023-04-28,118.66,132.87,118.66,153.5,4389
2023-04-29,189.26,189.26,103.05,189.3,9442
2023-04-30,153.93,175.24,153.93,98.5,3430
2023-05-01,180.74,180.74,180.74,166.83,1458
2023-05-02,189.61,189.61,109.03,125.63,1207
2023-05-03,131.8,131.8,96.98,190.21,1899
2023-05-04,111.01,149.44,111.01,195.02,1021
2023-05-05,122.79,122.79,122.79,192.26,9601
2023-05-06,142.71,154.95,142.71,143.84,1894
2023-05-07,181.8,181.8,104.68,183.79,1514
2023-05-08,186.07,188.77,173.5,181.99,8294
2023-05-09,100.7,135.09,100.7,127.87,5904
2023-05-10,151.07,151.07,107.18,180.38,8867
2023-05-11,141.74,141.74,107.25,98.81,5109
2023-05-12,122.21,176.15,122.21,156.42,8179
2023-05-13,111.99,161.82,111.99,118.69,2560
2023-05-14,133.76,133.76,133.76,107.42,2266
2023-05-15,194.29,194.29,127.68,102.93,4638
2023-05-16,132.32,170.1,132.32,166.72,9941
2023-05-17,151.88,151.88,131.21,130.01,4427
2023-05-18,170.3,182.19,170.3,169.65,5780
2023-05-19,136.36,170.62,136.11,101.73,2927
2023-05-20,197.18,197.18,129.58,127.47,3356
2023-05-21,196.24,196.24,138.58,150.57,5790
2023-05-22,125.18,198.66,121.64,176.44,1306
2023-05-23,149.72,149.72,149.72,127.83,8979
2023-05-24,130.09,137.06,130.09,159.47,4665
2023-05-25,128.48,181.28,114.38,186.26,8057
2023-05-26,103.69,194.72,103.69,158.43,1661
2023-05-27,160.96,198.6,130.31,118.99,5644
2023-05-28,150.27,175.34,147.07,97.51,9503
2023-05-29,105.15,137.63,105.15,184.62,3920
2023-05-30,127.86,127.86,127.86,97.19,9946
2023-05-31,190.83,190.83,102.27,185.09,7236
2023-06-01,123.96,155.84,123.96,149.48,7078
2023-06-02,114.49,142.42,114.49,191.72,1352
2023-06-03,148.95,190.64,125.17,177.27,8005
2023-06-04,198.57,198.57,104.62,197.79,1158
2023-06-05,124.21,149.26,124.21,131.12,1956
2023-06-06,167.21,167.21,155.11,174.02,3071
2023-06-07,176.16,176.16,146.01,136.4,9595
2023-06-08,123.76,123.76,123.76,144.43,4453
2023-06-09,172.82,172.82,172.8,159.63,7675
2023-06-10,136.78,136.78,105.93,184.99,1955
2023-06-11,163.23,164.92,122.73,196.36,7295
2023-06-12,163.35,174.6,116.09,174.13,2712
2023-06-13,153.58,158.34,153.58,138.03,5703
2023-06-14,109.03,196.22,93.52,138.4,7563
2023-06-15,183.53,183.53,149.84,170.97,6631
2023-06-16,132.08,132.08,132.08,119.59,2394
2023-06-17,118.65,186.86,118.65,106.38,5732
2023-06-18,104.08,122.36,104.08,131.53,4714
2023-06-19,159.09,196.32,159.09,124.59,1529
2023-06-20,167.76,167.76,101.62,125.52,3958
2023-06-21,101.66,196.99,101.66,119.06,8904
2023-06-22,151.21,151.21,103.39,99.34,4591
2023-06-23,122.65,189.11,122.65,96.84,7895
2023-06-24,164.52,164.52,164.52,196.74,1525
2023-06-25,117.44,199.3,105.74,139.06,7477
2023-06-26,169.09,169.09,114.07,134.59,1001
2023-06-27,138.67,155.39,138.67,165,1374
2023-06-28,193.67,196.93,165.6,117.48,5648
2023-06-29,113.75,152.31,113.75,192.85,3365
2023-06-30,134.11,162.94,134.11,175.99,2525
2023-07-01,111.35,169.57,111.35,104.21,2646
2023-07-02,192.47,192.47,116.44,138.01,1013
2023-07-03,187.73,187.73,126.3,185.55,5599
2023-07-04,125.79,158.43,109.07,192.31,3278
2023-07-05,166,190.12,166,143.14,4155
2023-07-06,181.72,181.72,151.26,158.18,9321
2023-07-07,155.52,155.52,132.09,112.2,4814
2023-07-08,152.97,195.04,138.51,197.09,4216
2023-07-09,124.19,189.03,124.19,118.86,9219
2023-07-10,109.31,145.57,106.1,192.1,3113
2023-07-11,189.72,189.72,151.55,161.91,5356
2023-07-12,190.04,190.04,143.12,157.6,6543
2023-07-13,163.31,163.31,154.2,147.81,5555
2023-07-14,133.9,146.37,91.9,118.76,8062
2023-07-15,134.92,135.34,134.92,113.18,4374
2023-07-16,172.6,172.6,172.6,117.71,7430
2023-07-17,189.71,189.71,149.34,114.2,4466
2023-07-18,188.71,197.44,163.15,175.3,4081
2023-07-19,177.99,198.62,177.99,131.06,1629
2023-07-20,164.2,169.82,164.2,100.96,1269
2023-07-21,108.41,153.61,106.02,194.82,6724
2023-07-22,116.16,130.95,116.16,186.03,6897
2023-07-23,189.86,189.86,153.71,190.56,4432
2023-07-24,160.64,168.47,134.53,197.48,7276
2023-07-25,100.92,116.26,100.92,112.91,6895
2023-07-26,110.15,191.09,110.15,135.81,8115
2023-07-27,166.35,182.25,166.35,173.1,7656
2023-07-28,100.51,194.98,100.51,166.69,1575
2023-07-29,116.08,172.57,101.89,110.85,8029
2023-07-30,154.87,161.34,154.87,179.03,7099
2023-07-31,169.19,169.19,169.19,118.12,4192
